,modis,gldas,gridmet
2013-10-01,976801.7611312866,334291.8795776367,363082.6987838745
2013-11-01,1035678.6220550537,356766.32263183594,1265596.169128418
2013-12-01,827204.284286499,322014.10583496094,475473.42721939087
2014-01-01,901323.1794548035,464662.1859741211,571446.5012168884
2014-02-01,1203585.9741210938,770300.7907104492,1592458.768157959
2014-03-01,2197933.3575439453,1442952.5811767578,1851810.124053955
2014-04-01,2196483.7589263916,1763559.580078125,2120695.436782837
2014-05-01,2750595.9329223633,1663497.5427246094,1329881.4548492432
2014-06-01,2274617.1478271484,1095671.9036865234,837514.6040725708
2014-07-01,1514460.0191116333,635883.0908203125,397929.276638031
2014-08-01,1968872.1906280518,423073.8088989258,545973.8401222229
2014-09-01,1538780.191040039,320796.4045715332,1087435.0401306152
2014-10-01,998050.8725738525,436579.43939208984,1316976.1626434326
2014-11-01,1215138.8606643677,436752.89978027344,1288079.8798370361
2014-12-01,956090.424785614,511786.0739135742,1357473.7236785889
2015-01-01,1395198.864555359,607579.8651123047,740348.5971450806
2015-02-01,1971848.187789917,1008372.5354003906,1573874.9601745605
2015-03-01,2468723.81149292,1553608.6358642578,1647992.8564453125
2015-04-01,2021259.1065216064,1821045.7067871094,2585613.422241211
2015-05-01,2815237.822494507,1656156.6430664062,1679459.140777588
2015-06-01,2191801.0707092285,1468478.853149414,1416318.1587982178
2015-07-01,2374934.7106933594,970203.6859130859,855216.5645599365
2015-08-01,1766348.7935256958,476645.75408935547,384376.07259750366
2015-09-01,1356794.8036193848,237515.9243774414,438984.07110214233
2015-10-01,980815.0255966187,342652.10998535156,1217790.8061218262
2015-11-01,1164359.3578720093,472757.2998046875,1426920.9507751465
2015-12-01,1022428.9956665039,402026.55029296875,968732.0343017578
